1,185,501,17,15
2,821,899,25,21
3,534,609,17,26
4,316,464,12,21
5,804,25,28,15
6,805,352,21,22
7,545,35,14,18
8,213,564,19,16
9,487,964,13,11
10,793,662,19,17
11,971,397,25,16
12,751,682,27,11
13,228,884,28,26
14,912,431,11,12
15,916,559,29,27
16,646,318,24,21
17,539,732,14,18
18,728,600,28,10
19,925,964,15,11
20,178,363,24,27
21,256,886,28,27
22,564,777,28,15
23,851,385,29,15
24,357,540,27,21
25,125,453,16,21
26,594,575,24,15
27,58,716,28,15
28,111,588,20,15
29,781,529,17,23
30,282,67,16,21
31,787,152,23,10
32,35,10,20,29
33,57,553,23,25
34,923,977,28,20
35,677,169,23,14
36,75,833,28,11
37,964,763,12,10
38,269,470,12,14
39,482,635,14,5
40,917,215,28,20
41,720,926,23,22
42,517,348,14,14
43,257,382,13,16
44,584,413,20,27
45,672,428,14,26
46,270,953,20,21
47,718,80,18,18
48,101,492,11,25
49,956,735,22,12
50,596,705,19,12
51,334,142,22,13
52,916,549,14,13
53,3,103,11,18
54,115,241,28,29
55,162,324,18,14
56,717,210,25,19
57,827,413,21,13
58,610,478,14,29
59,20,259,20,26
60,369,86,20,12
61,254,165,27,14
62,809,15,20,24
63,149,708,20,10
64,302,264,24,15
65,462,879,19,26
66,872,943,11,19
67,931,290,18,12
68,204,728,17,16
69,171,916,19,10
70,917,71,23,10
71,704,478,11,29
72,518,89,16,28
73,372,57,15,16
74,960,365,19,23
75,971,792,26,28
76,682,940,24,13
77,134,314,27,18
78,119,248,21,21
79,949,569,16,15
80,156,584,9,7
81,648,431,28,13
82,861,764,4,23
83,671,259,12,11
84,864,930,23,27
85,320,598,27,11
86,485,262,26,24
87,76,267,25,26
88,265,567,16,19
89,767,432,21,21
90,798,2,14,29
91,10,90,12,18
92,389,844,26,11
93,917,561,25,14
94,581,756,25,15
95,627,312,11,23
96,61,735,28,20
97,598,90,12,12
98,583,691,16,19
99,815,178,15,27
100,432,641,19,29
101,482,161,17,12
102,505,60,25,12
103,455,194,13,20
104,91,814,18,29
105,250,89,13,21
106,78,836,18,21
107,5,182,10,6
108,62,167,27,25
109,306,552,16,22
110,605,76,25,24
111,207,205,17,21
112,318,661,27,27
113,572,533,22,26
114,352,839,13,24
115,394,285,20,23
116,373,428,20,22
117,530,381,20,19
118,368,52,21,25
119,400,762,29,18
120,829,844,23,25
121,30,438,17,17
122,389,770,14,19
123,154,432,17,25
124,530,456,24,22
125,667,944,20,22
126,391,599,25,22
127,660,185,12,18
128,594,108,10,22
129,47,444,17,16
130,915,416,19,21
131,555,486,23,26
132,116,180,22,29
133,933,528,22,17
134,537,732,19,23
135,549,571,16,15
136,734,673,14,22
137,458,204,14,27
138,930,965,16,25
139,584,603,26,18
140,628,246,10,10
141,142,617,13,15
142,743,669,24,25
143,931,954,28,29
144,223,301,27,29
145,572,645,14,12
146,242,430,24,13
147,346,765,3,5
148,415,957,21,21
149,867,378,27,29
150,4,705,20,28
151,319,584,17,22
152,830,885,24,13
153,480,161,19,13
154,365,468,18,12
155,134,864,23,25
156,269,467,28,21
157,368,810,18,14
158,976,746,16,18
159,485,33,27,13
160,184,244,15,25
161,291,425,25,28
162,593,699,29,22
163,794,837,23,26
164,193,487,28,17
165,394,73,28,13
166,984,895,15,23
167,719,231,18,27
168,247,253,21,20
169,204,568,16,10
170,140,140,23,27
171,85,752,26,10
172,506,264,23,22
173,527,447,26,29
174,568,916,12,26
175,535,336,15,15
176,921,905,10,10
177,65,58,16,19
178,105,213,26,26
179,673,960,25,19
180,76,727,14,12
181,410,361,21,25
182,589,943,29,19
183,5,770,27,12
184,623,212,12,29
185,567,459,17,24
186,955,359,24,27
187,249,153,21,17
188,337,537,19,15
189,162,85,10,14
190,624,285,25,28
191,279,670,24,28
192,865,541,27,20
193,643,191,29,12
194,288,405,13,13
195,955,397,18,25
196,609,509,17,14
197,731,613,27,19
198,867,720,20,12
199,146,380,28,10
200,589,506,15,29
201,920,124,10,27
202,590,557,15,19
203,490,617,22,13
204,634,423,19,25
205,470,595,14,24
206,370,762,28,10
207,834,192,12,12
208,282,401,17,23
209,367,578,11,13
210,845,123,20,25
211,604,281,23,17
212,475,168,11,18
213,168,93,23,24
214,844,285,23,23
215,361,65,12,21
216,467,202,23,21
217,581,451,10,16
218,3,841,23,25
219,54,197,13,21
220,960,382,22,15
221,980,15,18,23
222,943,722,24,18
223,53,962,10,13
224,175,430,17,19
225,884,733,18,14
226,927,85,10,23
227,270,876,28,23
228,606,826,11,25
229,317,654,22,26
230,277,631,22,16
231,111,498,10,28
232,420,667,10,17
233,711,493,26,14
234,420,634,15,16
235,400,750,24,29
236,479,628,25,21
237,912,975,23,22
238,821,662,17,21
239,304,119,22,18
240,95,522,25,11
241,249,762,17,14
242,723,819,28,27
243,723,117,23,22
244,77,268,24,25
245,758,67,21,16
246,708,758,14,16
247,388,447,29,17
248,359,338,24,18
249,209,850,23,29
250,769,6,12,21
251,662,92,13,12
252,744,238,16,17
253,729,602,10,19
254,929,592,21,16
255,716,518,4,5
256,300,409,15,23
257,206,504,15,25
258,336,44,15,23
259,319,249,18,28
260,223,796,19,14
261,55,153,11,21
262,316,410,19,23
263,838,4,15,17
264,501,525,26,26
265,656,38,16,20
266,467,672,15,28
267,741,352,24,11
268,20,679,17,21
269,579,836,17,24
270,115,880,10,28
271,871,591,10,13
272,964,470,24,24
273,330,252,20,18
274,201,683,16,15
275,746,605,15,11
276,92,281,22,20
277,735,412,16,29
278,977,398,21,14
279,99,343,16,17
280,316,336,24,21
281,964,556,15,21
282,619,646,27,24
283,241,198,28,20
284,735,721,13,29
285,249,694,16,10
286,501,368,15,18
287,216,492,17,26
288,711,45,23,19
289,242,585,20,23
290,192,545,17,27
291,586,692,20,24
292,94,925,25,15
293,2,65,12,26
294,852,386,24,26
295,293,857,8,9
296,676,864,29,16
297,511,304,12,23
298,60,711,15,25
299,637,252,29,23
300,195,525,12,10
301,905,572,19,17
302,394,279,21,16
303,623,138,14,11
304,147,619,10,27
305,534,23,10,16
306,284,58,27,11
307,466,62,29,20
308,424,76,15,25
309,154,580,15,18
310,819,934,21,14
311,524,526,18,17
312,774,305,13,18
313,64,701,22,19
314,930,596,26,13
315,401,824,25,24
316,792,374,29,12
317,585,580,24,26
318,366,438,13,20
319,347,228,15,27
320,538,347,22,19
321,462,966,29,22
322,2,79,12,16
323,152,792,29,15
324,315,100,29,27
325,830,869,15,11
326,8,640,20,28
327,786,530,22,18
328,575,520,10,14
329,775,112,25,10
